ID,Datetime,Temperature,Humidity,Pressure,Co2 Gas,PM2.5,PM10,Daytime
0,2019-05-20 19:08:34,23.00525734,33.06045426,972.7844332,626,3.8,8.8,Night
1,2019-05-20 19:08:35,22.98994236,33.09548316,972.8444715,627,3.8,8.9,Night
2,2019-05-20 19:08:36,23.00015235,33.08046737,972.8044464,627,3.8,8.9,Night
3,2019-05-20 19:08:36,22.98994236,33.10548665,972.732905,626,3.8,8.9,Night
4,2019-05-20 19:08:37,22.99504735,33.10548169,972.7686754,626,3.7,8.3,Night
5,2019-05-20 19:08:38,22.99504735,33.10047989,972.7965673,627,3.7,8.3,Night
6,2019-05-20 19:08:38,22.98994236,33.12549354,972.732905,627,3.7,8.3,Night
7,2019-05-20 19:08:39,22.98994236,33.13049525,972.8165799,626,3.7,8.3,Night
8,2019-05-20 19:08:40,22.99504735,33.14549582,972.7686754,626,3.7,8.2,Night
9,2019-05-20 19:08:40,22.99504735,33.14549582,972.8244592,626,3.7,8.2,Night
10,2019-05-20 19:08:41,22.99504735,33.12048705,972.7686754,626,3.7,8.2,Night
11,2019-05-20 19:08:41,22.99504735,33.15549928,972.7965673,627,3.8,8.3,Night
12,2019-05-20 19:08:42,22.99504735,33.14549582,972.7965673,626,3.8,8.0,Night
13,2019-05-20 19:08:43,22.99504735,33.15549928,972.8244592,626,3.8,8.0,Night
14,2019-05-20 19:08:43,22.98994236,33.15550367,972.7607966,626,3.7,7.3,Night
15,2019-05-20 19:08:44,22.98994236,33.1805119,972.7607966,627,3.6,7.0,Night
16,2019-05-20 19:08:45,22.99504735,33.18550949,972.7965673,627,3.6,7.0,Night
17,2019-05-20 19:08:45,22.98994236,33.20051836,972.7886882,626,3.6,6.8,Night
18,2019-05-20 19:08:46,22.98994236,33.20051836,972.7886882,626,3.5,6.8,Night
19,2019-05-20 19:08:47,22.98994236,33.20551995,972.7886882,626,3.5,6.8,Night
20,2019-05-20 19:08:47,22.99504735,33.21551943,972.8523511,626,3.5,7.4,Night
21,2019-05-20 19:08:48,22.98483737,33.21552681,972.7808092,627,3.5,7.5,Night
22,2019-05-20 19:08:49,22.98483737,33.22052832,972.8087006,626,3.5,7.5,Night
23,2019-05-20 19:08:49,22.98483737,33.22552983,972.8644835,626,3.5,6.9,Night
24,2019-05-20 19:08:50,22.97973237,33.23053484,972.8287126,626,3.6,7.0,Night
25,2019-05-20 19:08:51,22.98483737,33.25053727,972.7808092,626,3.6,7.0,Night
26,2019-05-20 19:08:51,22.97973237,33.25554195,972.745039,626,3.7,7.1,Night
27,2019-05-20 19:08:52,22.98483737,33.25553874,972.8087006,627,3.7,7.1,Night
28,2019-05-20 19:08:53,22.97462738,33.27054917,972.7371603,626,3.7,7.3,Night
29,2019-05-20 19:08:53,22.96952239,33.28055472,972.7013909,627,3.8,7.2,Night
30,2019-05-20 19:08:54,22.97973237,33.29055161,972.8008214,626,3.8,7.2,Night
32,2019-05-20 19:08:55,22.97973237,33.3005543,972.8008214,627,3.8,7.4,Night
31,2019-05-20 19:08:55,22.97462738,33.29555571,972.8487241,627,3.8,7.3,Night
33,2019-05-20 19:08:56,22.96952239,33.32056451,972.785063,627,3.8,7.4,Night
34,2019-05-20 19:08:56,22.97973237,33.3305622,972.8008214,627,3.8,7.5,Night
35,2019-05-20 19:08:57,22.97973237,33.3255609,972.7171479,627,3.8,7.5,Night
36,2019-05-20 19:08:58,22.96952239,33.33556806,972.8129537,626,3.8,7.9,Night
37,2019-05-20 19:08:58,22.97973237,33.35056732,972.8566038,626,3.8,8.0,Night
38,2019-05-20 19:08:59,22.97973237,33.35056732,972.7729302,626,3.8,8.0,Night
39,2019-05-20 19:09:00,22.97462738,33.33056455,972.7929422,626,3.8,7.8,Night
40,2019-05-20 19:09:00,22.97462738,33.34056701,972.7650512,627,3.8,7.8,Night
41,2019-05-20 19:09:01,22.97462738,33.32556331,972.7929422,627,3.8,7.8,Night
42,2019-05-20 19:09:02,22.97462738,33.34056701,972.7929422,627,3.8,8.0,Night
43,2019-05-20 19:09:02,22.96441739,33.34557255,972.7214029,626,3.8,8.0,Night
44,2019-05-20 19:09:03,22.97462738,33.35056944,972.7650512,627,3.8,8.0,Night
45,2019-05-20 19:09:04,22.97973237,33.36056984,972.7171479,627,3.8,8.1,Night
46,2019-05-20 19:09:04,22.97462738,33.37557539,972.7929422,627,3.9,8.2,Night
47,2019-05-20 19:09:05,22.9593124,33.39558477,972.7414144,627,3.9,8.2,Night
49,2019-05-20 19:09:06,22.96952239,33.4005827,972.7571723,626,3.9,8.0,Night
48,2019-05-20 19:09:06,22.96952239,33.39058053,972.8129537,627,3.9,8.0,Night
50,2019-05-20 19:09:07,22.96952239,33.43058903,972.8129537,627,3.9,8.0,Night
51,2019-05-20 19:09:07,22.9593124,33.43059139,972.7693047,627,3.9,7.5,Night
52,2019-05-20 19:09:08,22.96441739,33.42058825,972.7771838,627,3.9,7.5,Night
53,2019-05-20 19:09:09,22.96952239,33.4455921,972.8687352,626,3.9,7.5,Night
54,2019-05-20 19:09:10,22.96952239,33.45559411,972.7571723,627,3.8,7.4,Night
55,2019-05-20 19:09:10,22.96952239,33.46059511,972.785063,626,3.7,7.1,Night
56,2019-05-20 19:09:11,22.9593124,33.46559765,972.7414144,626,3.7,7.1,Night
57,2019-05-20 19:09:12,22.95420741,33.4605976,972.7335356,627,3.7,7.5,Night
58,2019-05-20 19:09:12,22.97462738,33.47559737,972.8208331,626,3.7,7.5,Night
59,2019-05-20 19:09:13,22.9593124,33.47059851,972.7135242,627,3.7,7.5,Night
60,2019-05-20 19:09:14,22.96441739,33.47559871,972.7492933,626,3.8,8.2,Night
61,2019-05-20 19:09:14,22.96441739,33.47559871,972.7492933,626,3.9,8.5,Night
62,2019-05-20 19:09:15,22.96441739,33.47559871,972.7771838,627,3.9,8.5,Night
64,2019-05-20 19:09:16,22.9593124,33.49560273,972.7971949,626,4.0,8.7,Night
63,2019-05-20 19:09:16,22.95420741,33.48060081,972.8172056,627,3.8,8.5,Night
65,2019-05-20 19:09:17,22.9593124,33.48060022,972.7971949,626,4.0,8.7,Night
66,2019-05-20 19:09:18,22.9593124,33.50560436,972.7971949,626,4.0,8.2,Night
67,2019-05-20 19:09:18,22.94910242,33.51060565,972.7814363,627,4.0,8.8,Night
68,2019-05-20 19:09:19,22.94910242,33.51560634,972.7535465,627,4.0,8.8,Night
69,2019-05-20 19:09:20,22.94910242,33.51060565,972.697767,626,4.0,9.0,Night
70,2019-05-20 19:09:20,22.94910242,33.52560769,972.7535465,626,3.9,8.9,Night
71,2019-05-20 19:09:21,22.94910242,33.53060835,972.7256567,626,3.9,8.9,Night
72,2019-05-20 19:09:21,22.94910242,33.53060835,972.8372159,626,3.9,8.7,Night
73,2019-05-20 19:09:22,22.94910242,33.54561029,972.7256567,627,3.9,8.6,Night
74,2019-05-20 19:09:23,22.94910242,33.55561155,972.7256567,626,3.9,8.6,Night
75,2019-05-20 19:09:24,22.93889243,33.57061246,972.7377884,626,3.9,8.5,Night
76,2019-05-20 19:09:24,22.94399742,33.55561127,972.773557,626,3.9,8.5,Night
77,2019-05-20 19:09:25,22.93889243,33.58561388,972.7098991,627,3.9,8.5,Night
78,2019-05-20 19:09:26,22.94910242,33.57061339,972.7535465,627,4.0,8.5,Night
79,2019-05-20 19:09:26,22.94399742,33.58561452,972.7456674,627,4.0,8.5,Night
80,2019-05-20 19:09:27,22.94910242,33.5956163,972.7814363,627,4.0,8.5,Night
81,2019-05-20 19:09:28,22.94399742,33.61061704,972.8014466,626,4.0,8.2,Night
82,2019-05-20 19:09:28,22.93889243,33.60561568,972.7656777,627,3.9,8.0,Night
83,2019-05-20 19:09:29,22.94399742,33.59561555,972.773557,627,3.9,8.0,Night
84,2019-05-20 19:09:30,22.93378744,33.60061442,972.8135768,628,3.9,8.1,Night
85,2019-05-20 19:09:30,22.94399742,33.60561655,972.773557,627,3.9,8.2,Night
86,2019-05-20 19:09:31,22.93889243,33.61061611,972.7935671,627,3.9,8.2,Night
87,2019-05-20 19:09:32,22.93889243,33.60561568,972.7656777,628,3.9,8.2,Night
88,2019-05-20 19:09:32,22.93378744,33.61061518,972.7856876,627,3.9,8.2,Night
89,2019-05-20 19:09:33,22.93889243,33.61561654,972.8214565,627,3.9,8.2,Night
90,2019-05-20 19:09:34,22.93889243,33.63061776,972.7935671,627,3.8,8.3,Night
91,2019-05-20 19:09:34,22.93378744,33.61061518,972.8135768,626,3.8,8.8,Night
92,2019-05-20 19:09:35,22.92357746,33.62061377,972.6862629,628,3.8,8.8,Night
93,2019-05-20 19:09:36,22.93378744,33.6306166,972.8135768,627,3.8,8.8,Night
94,2019-05-20 19:09:36,22.93378744,33.6206159,972.8135768,626,3.9,9.8,Night
95,2019-05-20 19:09:37,22.93889243,33.61061611,972.7935671,626,3.9,9.8,Night
97,2019-05-20 19:09:38,22.93378744,33.6206159,972.7856876,626,4.0,9.9,Night
96,2019-05-20 19:09:38,22.93378744,33.6306166,972.7299094,627,4.0,9.9,Night
98,2019-05-20 19:09:39,22.93889243,33.62561736,972.7377884,627,4.0,9.9,Night
99,2019-05-20 19:09:40,22.93378744,33.61061518,972.7856876,626,4.0,10.6,Night
100,2019-05-20 19:09:40,22.93889243,33.61061611,972.7656777,627,4.0,10.8,Night
101,2019-05-20 19:09:41,22.93378744,33.61061518,972.8135768,627,4.0,10.8,Night
102,2019-05-20 19:09:42,22.92868245,33.61061423,972.6941416,628,4.0,10.5,Night
103,2019-05-20 19:09:42,22.93889243,33.62561736,972.7935671,627,4.0,10.7,Night
104,2019-05-20 19:09:43,22.92357746,33.62061377,972.7978174,627,4.0,10.7,Night
105,2019-05-20 19:09:44,22.92868245,33.61561454,972.7499193,628,4.0,10.0,Night
106,2019-05-20 19:09:44,22.92868245,33.61561454,972.7778082,626,3.9,9.7,Night
107,2019-05-20 19:09:45,22.91847247,33.60561211,972.7341609,626,3.9,9.7,Night
108,2019-05-20 19:09:46,22.92357746,33.62061377,972.7978174,627,4.0,9.6,Night
109,2019-05-20 19:09:47,22.92357746,33.61561353,972.7978174,628,3.9,10.8,Night
110,2019-05-20 19:09:47,22.91847247,33.6206127,972.7341609,627,4.2,11.5,Night
112,2019-05-20 19:09:48,22.91847247,33.63561321,972.7620494,627,4.2,11.1,Night
111,2019-05-20 19:09:48,22.91847247,33.62561288,972.7620494,627,4.2,11.5,Night
113,2019-05-20 19:09:49,22.90826249,33.62061052,972.7462907,628,4.2,11.1,Night
114,2019-05-20 19:09:50,22.91847247,33.64561352,972.7620494,627,4.1,10.9,Night
115,2019-05-20 19:09:50,22.91336748,33.63561196,972.75417,626,4.2,11.0,Night
116,2019-05-20 19:09:51,22.91847247,33.6556138,972.7620494,627,4.2,11.0,Night
117,2019-05-20 19:09:52,22.9031575,33.65560931,972.7384114,628,4.2,11.3,Night
118,2019-05-20 19:09:52,22.90826249,33.65561082,972.7741786,628,4.3,11.1,Night
119,2019-05-20 19:09:53,22.91336748,33.66061239,972.7262818,627,4.3,11.1,Night
120,2019-05-20 19:09:54,22.90826249,33.64561077,972.7462907,628,4.3,11.3,Night
121,2019-05-20 19:09:54,22.91847247,33.65061367,972.7341609,628,4.3,11.2,Night
122,2019-05-20 19:09:55,22.91336748,33.65561231,972.75417,627,4.3,11.2,Night
123,2019-05-20 19:09:56,22.91336748,33.67061251,972.7262818,628,4.3,11.1,Night
124,2019-05-20 19:09:56,22.91847247,33.66061393,972.7899378,627,4.3,11.0,Night
125,2019-05-20 19:09:57,22.91847247,33.67561427,972.7899378,627,4.3,11.0,Night
126,2019-05-20 19:09:58,22.91336748,33.69561268,972.8099464,628,4.3,10.9,Night
128,2019-05-20 19:09:59,22.90826249,33.67561083,972.7462907,627,4.3,11.4,Night
127,2019-05-20 19:09:59,22.90826249,33.68061081,972.7741786,628,4.3,11.4,Night
129,2019-05-20 19:10:00,22.90826249,33.68561079,972.7462907,628,4.2,11.2,Night
130,2019-05-20 19:10:01,22.9031575,33.67060916,972.7941869,628,4.2,11.2,Night
131,2019-05-20 19:10:01,22.9031575,33.67560909,972.7941869,627,4.2,11.2,Night
132,2019-05-20 19:10:02,22.90826249,33.67061084,972.7741786,627,4.2,11.2,Night
133,2019-05-20 19:10:03,22.91847247,33.69061455,972.7899378,627,4.2,11.2,Night
134,2019-05-20 19:10:03,22.90826249,33.69561072,972.7741786,627,4.2,11.2,Night
135,2019-05-20 19:10:04,22.90826249,33.70061068,972.7462907,627,4.2,11.8,Night
136,2019-05-20 19:10:04,22.91847247,33.7206149,972.8178263,628,4.1,11.6,Night
137,2019-05-20 19:10:05,22.91336748,33.69061266,972.7820582,628,4.1,11.6,Night
138,2019-05-20 19:10:06,22.92357746,33.69561656,972.7699288,627,4.1,11.6,Night
139,2019-05-20 19:10:06,22.91336748,33.71561269,972.75417,627,4.1,10.8,Night
140,2019-05-20 19:10:07,22.91847247,33.71561486,972.7899378,628,4.1,10.8,Night
141,2019-05-20 19:10:08,22.91336748,33.73061262,972.8099464,628,4.0,10.6,Night
142,2019-05-20 19:10:08,22.92357746,33.72561722,972.7978174,628,4.0,10.6,Night
143,2019-05-20 19:10:09,22.92357746,33.74061745,972.7699288,628,4.0,10.7,Night
144,2019-05-20 19:10:10,22.92868245,33.74562002,972.7778082,628,4.1,10.4,Night
145,2019-05-20 19:10:10,22.91847247,33.76561495,972.7620494,627,4.1,10.4,Night
146,2019-05-20 19:10:11,22.92357746,33.74561751,972.7420401,627,4.0,10.2,Night
147,2019-05-20 19:10:11,22.92868245,33.7706205,972.833586,628,4.0,10.1,Night
148,2019-05-20 19:10:12,22.91847247,33.76061497,972.8178263,628,4.0,10.1,Night
149,2019-05-20 19:10:13,22.92357746,33.76061765,972.7699288,627,4.1,10.7,Night
150,2019-05-20 19:10:13,22.91847247,33.75561499,972.7341609,628,4.1,10.6,Night
151,2019-05-20 19:10:14,22.92868245,33.76562042,972.833586,628,4.1,10.6,Night
152,2019-05-20 19:10:15,22.92357746,33.76061765,972.7699288,627,4.1,10.7,Night
153,2019-05-20 19:10:15,22.92357746,33.77061771,972.7978174,628,4.0,10.5,Night
154,2019-05-20 19:10:16,22.92868245,33.79062076,972.833586,628,4.0,10.5,Night
155,2019-05-20 19:10:17,22.92868245,33.78562071,972.7778082,627,4.0,9.1,Night
156,2019-05-20 19:10:17,22.91336748,33.77561201,972.7820582,627,4.0,9.1,Night
157,2019-05-20 19:10:18,22.91847247,33.79561465,972.7620494,627,3.7,8.4,Night
158,2019-05-20 19:10:18,22.91847247,33.80061457,972.7620494,627,3.7,8.1,Night
159,2019-05-20 19:10:19,22.92357746,33.79561773,972.7699288,628,3.7,8.1,Night
160,2019-05-20 19:10:20,22.92868245,33.8106209,972.7778082,627,3.7,8.0,Night
161,2019-05-20 19:10:20,22.93378744,33.82562435,972.7856876,627,3.7,8.7,Night
162,2019-05-20 19:10:21,22.92868245,33.8106209,972.7778082,627,3.7,8.7,Night
163,2019-05-20 19:10:22,22.91847247,33.8156143,972.7899378,627,3.7,8.5,Night
164,2019-05-20 19:10:22,22.92868245,33.8106209,972.7778082,628,3.7,8.7,Night
165,2019-05-20 19:10:23,22.92357746,33.82061757,972.7699288,627,3.7,8.7,Night
166,2019-05-20 19:10:24,22.91847247,33.82561408,972.8178263,627,3.6,8.5,Night
167,2019-05-20 19:10:24,22.91336748,33.83061047,972.7820582,628,3.7,8.7,Night
168,2019-05-20 19:10:25,22.91336748,33.83561028,972.8378347,627,3.7,8.7,Night
169,2019-05-20 19:10:26,22.92357746,33.83561738,972.7978174,627,3.7,8.6,Night
170,2019-05-20 19:10:26,22.92357746,33.83061745,972.7699288,628,3.7,8.9,Night
171,2019-05-20 19:10:27,22.91847247,33.8406137,972.7899378,627,3.7,8.9,Night
172,2019-05-20 19:10:28,22.93378744,33.84562451,972.8414659,627,3.7,8.9,Night
173,2019-05-20 19:10:28,22.91336748,33.85060969,972.75417,627,3.9,9.7,Night
174,2019-05-20 19:10:29,22.91336748,33.86060925,972.7820582,627,3.9,9.7,Night
176,2019-05-20 19:10:30,22.91847247,33.84561356,972.7899378,627,4.0,9.7,Night
175,2019-05-20 19:10:30,22.92357746,33.86061693,972.7978174,627,4.0,9.7,Night
177,2019-05-20 19:10:31,22.91336748,33.86060925,972.7262818,627,4.1,9.5,Night
178,2019-05-20 19:10:32,22.90826249,33.85060595,972.7741786,628,4.1,9.4,Night
179,2019-05-20 19:10:32,22.91847247,33.86061309,972.7062726,627,4.1,9.4,Night
180,2019-05-20 19:10:33,22.91336748,33.8806083,972.6983937,628,4.1,9.6,Night
181,2019-05-20 19:10:34,22.90826249,33.87560453,972.8299547,627,4.2,8.8,Night
182,2019-05-20 19:10:34,22.91847247,33.88061237,972.7620494,627,4.2,8.8,Night
183,2019-05-20 19:10:35,22.90826249,33.87060483,972.7741786,628,4.2,9.0,Night
184,2019-05-20 19:10:35,22.90826249,33.87060483,972.7462907,628,4.2,9.1,Night
185,2019-05-20 19:10:36,22.90826249,33.87560453,972.7462907,628,4.2,9.1,Night
186,2019-05-20 19:10:37,22.91336748,33.88560804,972.75417,627,4.2,9.1,Night
187,2019-05-20 19:10:37,22.91336748,33.89060778,972.75417,628,4.2,9.1,Night
188,2019-05-20 19:10:38,22.91336748,33.89060778,972.7820582,627,4.2,9.1,Night
189,2019-05-20 19:10:39,22.91336748,33.88560804,972.75417,628,4.2,9.0,Night
190,2019-05-20 19:10:39,22.90826249,33.89560326,972.7184027,627,4.2,9.0,Night
191,2019-05-20 19:10:40,22.90826249,33.89060358,972.7741786,627,4.1,8.5,Night
192,2019-05-20 19:10:41,22.90826249,33.90560258,972.7184027,627,4.1,8.7,Night
193,2019-05-20 19:10:41,22.91336748,33.91060665,972.8378347,627,4.1,8.7,Night
194,2019-05-20 19:10:42,22.9031575,33.91059779,972.7662991,628,4.1,8.6,Night
195,2019-05-20 19:10:43,22.90826249,33.91060223,972.7741786,627,4.0,7.6,Night
196,2019-05-20 19:10:43,22.89805251,33.91559288,972.7305321,628,4.0,7.6,Night
197,2019-05-20 19:10:44,22.89294752,33.93058674,972.6947656,628,4.0,7.6,Night
198,2019-05-20 19:10:45,22.9031575,33.92559653,972.7662991,627,4.1,8.6,Night
199,2019-05-20 19:10:45,22.89805251,33.9205924,972.7026446,627,4.1,8.6,Night
200,2019-05-20 19:10:46,22.89805251,33.93059142,972.7863071,627,4.1,8.6,Night
201,2019-05-20 19:10:47,22.90826249,33.93060075,972.8020666,628,4.1,8.7,Night
202,2019-05-20 19:10:47,22.89805251,33.93059142,972.7863071,628,4.1,8.7,Night
203,2019-05-20 19:10:48,22.89805251,33.93059142,972.7584196,627,4.2,9.2,Night
204,2019-05-20 19:10:49,22.89294752,33.94058561,972.7505401,627,4.1,9.1,Night
205,2019-05-20 19:10:49,22.89805251,33.93559092,972.7863071,628,4.1,9.1,Night
206,2019-05-20 19:10:50,22.89805251,33.93559092,972.7584196,628,4.0,9.1,Night
208,2019-05-20 19:10:51,22.90826249,33.92560113,972.7741786,628,4.0,8.9,Night
207,2019-05-20 19:10:51,22.90826249,33.94559957,972.7462907,628,4.0,8.9,Night
209,2019-05-20 19:10:52,22.89805251,33.95058937,972.7305321,628,4.0,9.2,Night
210,2019-05-20 19:10:53,22.9031575,33.97559182,972.7105236,627,4.0,8.9,Night
211,2019-05-20 19:10:53,22.90826249,33.97059745,972.8299547,628,4.0,8.9,Night
212,2019-05-20 19:10:54,22.90826249,33.97059745,972.6905148,627,4.0,9.1,Night
213,2019-05-20 19:10:55,22.9031575,33.96559282,972.7105236,627,3.9,9.2,Night
214,2019-05-20 19:10:55,22.90826249,33.98059655,972.8020666,627,3.9,9.2,Night
215,2019-05-20 19:10:56,22.89805251,33.99058491,972.7305321,627,4.0,9.3,Night
216,2019-05-20 19:10:57,22.9031575,33.99059027,972.7105236,628,3.9,9.0,Night
217,2019-05-20 19:10:57,22.90826249,33.99059562,972.7462907,627,3.9,9.0,Night
218,2019-05-20 19:10:58,22.89805251,33.99558432,972.7584196,627,3.9,9.0,Night
219,2019-05-20 19:10:59,22.90826249,34.00559417,972.7741786,627,3.7,7.8,Night
220,2019-05-20 19:10:59,22.9031575,33.99059027,972.7662991,628,3.7,7.8,Night
221,2019-05-20 19:11:00,22.9031575,33.98059131,972.7384114,627,3.7,7.8,Night
222,2019-05-20 19:11:00,22.9031575,34.00558865,972.7662991,628,3.6,8.2,Night
223,2019-05-20 19:11:01,22.9031575,34.0105881,972.7662991,627,3.6,8.2,Night
224,2019-05-20 19:11:02,22.91336748,34.00559969,972.75417,628,3.6,8.1,Night
225,2019-05-20 19:11:02,22.90826249,34.01559317,972.7184027,627,3.5,8.5,Night
226,2019-05-20 19:11:03,22.90826249,34.02559214,972.7741786,628,3.5,8.5,Night
227,2019-05-20 19:11:04,22.90826249,34.02559214,972.6905148,628,3.5,8.8,Night
228,2019-05-20 19:11:04,22.91336748,34.02559789,972.75417,628,3.6,8.1,Night
229,2019-05-20 19:11:05,22.91847247,34.03560279,972.7899378,627,3.6,8.1,Night
230,2019-05-20 19:11:06,22.91336748,34.02559789,972.75417,627,3.5,8.1,Night
231,2019-05-20 19:11:06,22.91336748,34.02559789,972.7262818,628,3.4,8.0,Night
232,2019-05-20 19:11:07,22.92868245,34.02061535,972.7778082,628,3.4,8.0,Night
233,2019-05-20 19:11:08,22.90826249,34.01559317,972.7741786,628,3.5,8.2,Night
